"Суд города Пусан продлил срок содержания под стражей капитану российского судна Seagrand, врезавшегося в мост",Об этом сообщил консул РФ в Пусане Роман Быков…
Посольство России в Лондоне потребовало официальных извинений за клевету от издания The Mail on Sunday,"В Дипмиссии сочли ложной публикацию в газете о том, что посол Александр Яковенко работает на российские спецслужбы…"
Московское 'Динамо' обыграло хельсинкский 'Йокерит' со счетом 3:0 в четвертом матче серии первого раунда плей-офф КХЛ,Встреча прошла в Москве…
"В 35 департаментах Франции объявлен предпоследний, 'оранжевый' уровень тревоги из-за сильного ветра",Штормовое предупреждение распространяется и на Париж…
При сегодняшней стыковке корабля Crew Dragon с МКС на российском сегменте станции прозвучал сигнал тревоги,Трансляция переговоров экипажа велась на сайте НАСА…
Начальник российского Генштаба в понедельник встретится в Вене с председателем Комитета начальников штабов США,Повестка переговоров не уточняется…
Лидер венесуэльской оппозиции Хуан Гуайдо призвал своих сторонников выйти в понедельник на очередные акции протеста,У себя в Твиттере он просит внимательно следить за информацией в соцсетях о точках сбора…
В США бывший читатель Публичной библиотеки округа Кайахога вернул журнал Life 1968 года с The Beatles на обложке,"Читатель принес извинения и объяснил, что украл журнал, когда был ребенком…"
Официальный представитель ФК 'Спартак' Леонид Трахтенберг уходит с этого поста,"В эфире телеканала «Матч ТВ» он выразил надежду, что в клубе его поймут и пойдут навстречу…"
Ил-62 ВВС России накануне вылетел из Москвы в Каракас и уже сегодня проследовал в обратном направлении,Об этом сообщает издание Тhe Веll со ссылкой на сайт Флай Радар…
Лидер венесуэльской оппозиции Хуан Гуайдо призвал своих сторонников выйти в понедельник на очередные акции протеста,У себя в Твиттере он просит внимательно следить за информацией в соцсетях о точках сбора…
Швейцарский теннисист Роджер Федерер одержал победу в 100-м турнире в своей карьере,На первенстве в Дубае он победил в финале грека Стефаноса Циципаса…
Активисты Гринпис собрали сто тысяч подписей с требованием выпустить косаток и белух в Приморье,Они содержатся в так называемой «китовой тюрьме»...
