url,title,descr
,Британское Минобороны выделило дополнительно 11 миллионов фунтов на борьбу с угрозой применения химоружия,Соответствующее заявление военное ведомство распространило в канун годовщины отравления в Солсбери Сергея и Юлии Скрипалей…
,Писателя Романа Арбитмана вызывают в полицию Саратова,Повестку ему вручили на завтра…
,В Симферополе задержали архиепископа Православной церкви Украины Климента,"По сведениям ОВД Инфо, это произошло на автовокзале, откуда священнослужитель собирался ехать в Ростов-на-Дону…"
,Постановление СК о возбуждении уголовного дела в отношении Браудера абсурдно – адвокат,Такое мнение высказал в эфире радиостанции «Эхо Москвы» адвокат основателя британского фонда Hermitage Capital Уильяма Браудера Александр Антипов…
,Чемпионат мира по лыжным видам спорта завершается сегодня в Австрии по традиции мужским марафоном,"Еще на первой половине дистанции в отрыв, причем в одиночку, ушел норвежец Ханс Кристофер Холланд…"
,Принадлежащую 'Русалу' горнодобывающую компанию в Гайане могут закрыть из-за увольнений бастовавших сотрудников,Об этом объявили власти южноамериканского государства…
,"В МВД отрицают угрозы в адрес полицейских, задержавших в Кисловодске бойца смешанного стиля Александра Емельяненко","В ведомстве заверили, что никого из них не уволили…"
,The Mail on Sunday: Посол России в Лондоне Александр Яковенко был агентом спецслужб еще с советских времен,"Официальный представитель МИДа Мария Захарова уже заявила, что британские СМИ «отмечают» годовщину событий в Солсбери откровенными фейками…"
,"МВД опровергло слухи о наказании сотрудников, задержавших в Кисловодске бойца смешанного стиля Александра Емельяненко",Полицейские действовали в рамках законодательства и после этого им никто не угрожал…
,Частный космический корабль Crew Dragon успешно пристыковался к МКС в автоматическом режиме,Запуск Crew Dragon состоялся 2 марта с космодрома во Флориде…
,Питерские коммунисты рекомендовали кинорежиссера Владимира Бортко для выдвижения на пост губернатора Петербурга,Об этом ТАСС сообщила руководитель фракции КПРФ в городском Заксобрании Ольга Ходунова…
,Против Уильяма Браудера в России действительно возбуждено дело об убийстве российского бизнесмена Перепиличного,Это подтвердил адвокат основателя фонда Hermitage Capital Александр Антипов…
,The Mail on Sunday: Посол России в Лондоне Александр Яковенко был агентом советских спецслужб,"Официальный представитель российского МИДа Мария Захарова уже заявила, что британские СМИ «отмечают» годовщину событий в Солсбери откровенными фейками…"
,Расследование британских СМИ в отношении посла Яковенко не выдерживает критики – МИД,Об этом сообщила в эфире радиостанции «Эхо Москвы» официальный представитель МИД РФ Мария Захарова…
,Международный совет футбольных ассоциаций принял ряд изменений в правила игры,Большинство из них призваны сократить количество пауз во время матча…
,Отделение КПРФ в Петербурге рекомендовало выдвинуть Владимира Бортко в губернаторы,Об этом сообщает агентство ТАСС со ссылкой на руководство фракции…
,Депутаты британского парламента просят МИД страны изучить связи посла России Александра Яковенко с военной разведкой,Об этом пишет газета «Мэйл он санди»...
,Космический корабль Crew Dragon успешно пристыковался к МКС,Первый испытательный полет на орбиту прошел в полностью автоматическом режиме…
,Россия поставила Индии 50 тысяч автоматов Калашникова,Об этом сообщает агентство Интерфакс со ссылкой на источник…
,"В МГУ анонсировали конференцию, приуроченную к годовщине отравления Скрипалей",Об этом сообщает радиостанция «Говорит Москва»...
,Британские депутаты потребовали изучить связи посла России с военной разведкой,Об этом пишет газета «Мэйл он санди»...
,"В МВД отрицают угрозы в адрес полицейских, задержавших бойца смешанных единоборств Александра Емельяненко",Об этом сообщает агентство Интерфакс…
,Частный космический корабль Crew Dragon сегодня успешно пристыковался к МКС,Процесс прошел в штатном режиме…
,В столице началась масштабная реконструкция главной арены спорткомплекса «Олимпийский»,"Стартовал «снос» внутренних строений стадиона, который был построен к Олимпиаде 1980 года…"
,В районе Зюзино на юго-западе Москвы сегодня проходит акция против закрытия роддома,"Местные жители считают, что альтернативы этому роддому нет…"
,"В России опасаются, что Вашингтон пойдет на провокации, чтобы осуществить военное вторжение в Венесуэлу",Об этом заявила спикер Совета Федерации Валентина Матвиенко…
,"Сын жительницы Великобритании, скончавшейся от отравления ядом 'Новичок', обратился к Владимиру Путину",Эван Хоуп написал президенту России письмо с просьбой позволить британским спецслужбам допросить двух подозреваемых в организации отравления в Солсбери предполагаемых военных разведчиков…
,Потушен пожар на территории судоремонтного завода в Москве,"По словам спасателей, никто не пострадал…"
,В Пскове сегодня проходит митинг против строительства химического предприятия 'Титан-полимер',"рганизаторами выступили, в том числи, представители КПРФ и партии «Яблоко»..."
,В Саратове пенсионер скончался после падения на него глыбы льда,"Возбуждено уголовное дело об оказании услуг, не отвечающих требованиям безопасности…"
,Во Львове снесли 30-метровую стелу Монумента славы советским воинам,"Еще три года назад группа местных депутатов заявила, что существование мемориала противоречит закону о декоммунизации…"
,Дональд Трамп потребовал от Ким Чен Ына закрыть секретный завод по обогащению урана,Американский лидер обратился к северокорейскому коллеге во время недавней встречи в Ханое…
,Американский космический корабль Крю Дрэгон успешно пристыковался к МКС,Перед этим он выполнил серию маневров…
,Самолёт Узбекских авиалиний выкатился за пределы посадочной полосы,Это произошло в Пулково в Петербурге…
,Крупный пожар произошел на территории судоремонтного завода в Москве,Загорелось однопалубное судно…
,В районе Зюзино на юго-западе Москвы сегодня проходит акция против закрытия роддома,"Местные жители организовали сбор подписей и решили собраться, чтобы выразить свой протест…"
,Mail On Sunday: Британские депутаты потребовали изучить связи посла России с военной разведкой,"Издание пишет, что провело расследование, и его выводы указывают на то, что Александр Яковенко был агентом советской разведки…"
,"Матвиенко: Москва приложит все усилия, чтобы не допустить военного вторжения в Венесуэлу",Заявление прозвучало на встрече Матвиенко с вице-президентом Венесуэлы Делси Родригес…
,"В городе Бердск силовики штурмом взяли здание МВД, чтобы задержать замначальника местного отдела полиции",Алексея Зорина и еще одного сотрудника заподозрили в мошенничестве…
,В Свердловской и Тюменской областях прошли митинги против мусорной реформы,"По данным организаторов, в Екатеринбурге на акцию вышли более двух тысяч человек…"
,Посетителей торгового центра 'Райкин Плаза' в Москве эвакуировали из-за короткого замыкания,"В МЧС утверждают, что пожара и дыма не было…"
,Речное судно загорелось на юге Москвы,К месту происшествия отправили 25 пожарных расчетов и пожарно-спасательное судно МЧС…
,Новейший американский космический корабль Крю Дрэгон начал сближение с МКС,Через полчаса он должен пристыковаться к Международной космической станции…
,"Матвиенко: Москва сделает всё возможное, чтобы не допустить военного вторжения в Венесуэлу",Это пообещала спикер Совета Федерации…
